dataset_name,column_name,data_type,total_rows,missing_count,missing_percentage,non_null_count
NDDB_RBP_Field_Trials,animal_id,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,state,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,agro_climatic_zone,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,species,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,breed,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,breed_type,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,age_months,int64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,body_weight_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,parity,int64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,lactation_stage,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,days_in_milk,int64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,pregnancy_status,int64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_milk_yield_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_milk_fat_pct,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_dry_fodder_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_green_fodder_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_concentrate_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_mineral_mixture_g,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_total_dmi_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,basal_feed_cost_inr,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,rec_dry_fodder_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,rec_green_fodder_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,rec_silage_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,rec_concentrate_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,rec_mineral_mixture_g,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,rec_total_dmi_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,rec_feed_cost_inr,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,daily_cost_saving_inr,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,post_balancing_milk_yield_kg,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,post_balancing_milk_fat_pct,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,daily_net_economic_gain_inr,float64,5000,0,0.0,5000
NDDB_RBP_Field_Trials,ration_balanced_status,str,5000,0,0.0,5000
NDDB_RBP_Field_Trials,study_source,str,5000,0,0.0,5000
ICAR_NIANP_Feed_Composition,feed_id,str,38,0,0.0,38
ICAR_NIANP_Feed_Composition,feed_name,str,38,0,0.0,38
ICAR_NIANP_Feed_Composition,feed_category,str,38,0,0.0,38
ICAR_NIANP_Feed_Composition,feed_subcategory,str,38,0,0.0,38
